timestamp,cluster,warehouses,duration_seconds,git_branch,run_type,metric_value,metric_name
2025-05-20 12:54:10,perf9,16000,7200,origin/main,default_oltp_sink_on,205202,tpmC
2025-05-20 12:54:10,perf9,16000,7200,origin/main,default_oltp_sink_on,85,newOrderLatency90
2025-05-20 13:38:52,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,45,newOrderLatency90
2025-05-20 13:38:52,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154079,tpmC
2025-05-20 13:47:42,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-20 13:47:42,perf7,5000,3600,origin/main,default,64303,tpmC
2025-05-20 14:34:53,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154152,tpmC
2025-05-20 14:34:53,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,43,newOrderLatency90
2025-05-20 15:14:36,perf2,16000,7200,origin/main,default,205020,tpmC
2025-05-20 15:14:36,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-20 15:26:28,perf3,16000,7200,origin/stable-24-4,default,124,newOrderLatency90
2025-05-20 15:26:28,perf3,16000,7200,origin/stable-24-4,default,204757,tpmC
2025-05-20 15:32:36,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,42,newOrderLatency90
2025-05-20 15:32:36,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154148,tpmC
2025-05-20 16:08:55,perf7,5000,3600,origin/main,default,20,newOrderLatency90
2025-05-20 16:08:55,perf7,5000,3600,origin/main,default,64266,tpmC
2025-05-20 16:45:20,perf9,16000,7200,origin/main,default_oltp_sink_on,76,newOrderLatency90
2025-05-20 16:45:20,perf9,16000,7200,origin/main,default_oltp_sink_on,205219,tpmC
2025-05-20 17:07:45,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,41,newOrderLatency90
2025-05-20 17:07:45,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154063,tpmC
2025-05-20 17:31:45,perf2,12000,1800,origin/main,latency,124,newOrderLatency90
2025-05-20 17:31:45,perf2,12000,1800,origin/main,latency,154083,tpmC
2025-05-20 17:52:31,perf3,12000,1800,origin/stable-24-4,latency,46,newOrderLatency90
2025-05-20 17:52:31,perf3,12000,1800,origin/stable-24-4,latency,154044,tpmC
2025-05-20 18:02:49,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,44,newOrderLatency90
2025-05-20 18:02:49,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154186,tpmC
2025-05-20 18:27:20,perf7,5000,3600,origin/main,default,64243,tpmC
2025-05-20 18:27:20,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-20 19:14:57,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154193,tpmC
2025-05-20 19:14:57,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,45,newOrderLatency90
2025-05-20 20:00:49,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,45,newOrderLatency90
2025-05-20 20:00:49,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154175,tpmC
2025-05-20 20:21:13,perf9,16000,7200,origin/main,default_oltp_sink_on,76,newOrderLatency90
2025-05-20 20:21:13,perf9,16000,7200,origin/main,default_oltp_sink_on,205270,tpmC
2025-05-20 20:35:04,perf7,5000,3600,origin/main,default,20,newOrderLatency90
2025-05-20 20:35:04,perf7,5000,3600,origin/main,default,64238,tpmC
2025-05-20 21:37:35,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-20 21:37:35,perf2,16000,7200,origin/main,default,204964,tpmC
2025-05-20 22:48:31,perf3,16000,7200,origin/main,default,205054,tpmC
2025-05-20 22:48:31,perf3,16000,7200,origin/main,default,98,newOrderLatency90
2025-05-20 23:50:10,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-20 23:50:10,perf2,12000,1800,origin/main,latency,154021,tpmC
2025-05-20 23:57:44,perf9,16000,7200,origin/main,default_oltp_sink_on,205242,tpmC
2025-05-20 23:57:44,perf9,16000,7200,origin/main,default_oltp_sink_on,76,newOrderLatency90
2025-05-21 01:01:07,perf3,12000,1800,origin/main,latency,43,newOrderLatency90
2025-05-21 01:01:07,perf3,12000,1800,origin/main,latency,154078,tpmC
2025-05-21 03:51:55,perf9,16000,7200,origin/main,default_oltp_sink_on,81,newOrderLatency90
2025-05-21 03:51:55,perf9,16000,7200,origin/main,default_oltp_sink_on,205186,tpmC
2025-05-21 05:48:54,perf3,16000,7200,origin/stable-25-1,default,205208,tpmC
2025-05-21 05:48:54,perf3,16000,7200,origin/stable-25-1,default,80,newOrderLatency90
2025-05-21 07:48:19,perf9,16000,7200,origin/stable-25-1-1,default_oltp_sink_on,205047,tpmC
2025-05-21 07:48:19,perf9,16000,7200,origin/stable-25-1-1,default_oltp_sink_on,91,newOrderLatency90
2025-05-21 08:01:18,perf3,12000,1800,origin/stable-25-1,latency,42,newOrderLatency90
2025-05-21 08:01:18,perf3,12000,1800,origin/stable-25-1,latency,154130,tpmC
2025-05-21 08:14:57,perf2,16000,7200,origin/main,default,204907,tpmC
2025-05-21 08:14:57,perf2,16000,7200,origin/main,default,184,newOrderLatency90
2025-05-21 10:07:46,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154143,tpmC
2025-05-21 10:07:46,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,44,newOrderLatency90
2025-05-21 10:27:36,perf2,12000,1800,origin/main,latency,154053,tpmC
2025-05-21 10:27:36,perf2,12000,1800,origin/main,latency,124,newOrderLatency90
2025-05-21 10:51:20,perf7,5000,3600,origin/main,default,64281,tpmC
2025-05-21 10:51:20,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-21 11:03:27,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,48,newOrderLatency90
2025-05-21 11:03:27,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154084,tpmC
2025-05-21 11:52:11,perf9,16000,7200,origin/main,default_oltp_sink_on,86,newOrderLatency90
2025-05-21 11:52:11,perf9,16000,7200,origin/main,default_oltp_sink_on,205161,tpmC
2025-05-21 12:05:01,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154025,tpmC
2025-05-21 12:05:01,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,46,newOrderLatency90
2025-05-21 12:50:43,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-21 12:50:43,perf7,5000,3600,origin/main,default,64297,tpmC
2025-05-21 13:02:50,perf3,16000,7200,origin/stable-24-4,default,124,newOrderLatency90
2025-05-21 13:02:50,perf3,16000,7200,origin/stable-24-4,default,204759,tpmC
2025-05-21 14:44:22,perf2,16000,7200,origin/main,default,204872,tpmC
2025-05-21 14:44:22,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-21 15:17:46,perf7,5000,3600,origin/main,default,64240,tpmC
2025-05-21 15:17:46,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-21 15:41:18,perf3,12000,1800,origin/stable-24-4,latency,154079,tpmC
2025-05-21 15:41:18,perf3,12000,1800,origin/stable-24-4,latency,44,newOrderLatency90
2025-05-21 15:54:11,perf9,16000,7200,origin/main,default_oltp_sink_on,205254,tpmC
2025-05-21 15:54:11,perf9,16000,7200,origin/main,default_oltp_sink_on,82,newOrderLatency90
2025-05-21 16:56:53,perf2,12000,1800,origin/main,latency,154106,tpmC
2025-05-21 16:56:53,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-21 17:35:39,perf7,5000,3600,origin/main,default,64263,tpmC
